Kategorie,Lebensmittel,Kalorien,Kohlenhydrate,Fette,Proteine
"Fleisch, Wurst, Fisch und Eier",Hähnchenbrust,122,2.1,2.7,22.0
"Fleisch, Wurst, Fisch und Eier",Lachsfilet,154,0.0,8.0,20.0
"Fleisch, Wurst, Fisch und Eier",Hackfleisch gemischt,224,0.05,16.4,19.4
"Fleisch, Wurst, Fisch und Eier",Ei,137,1.5,9.3,11.8
"Fleisch, Wurst, Fisch und Eier",Rindergeschnätzeltes,125,0.0,5.0,19.0
"Fleisch, Wurst, Fisch und Eier",Kabanossi,380,1.0,31.0,24.0
"Fleisch, Wurst, Fisch und Eier",Lammrückenfilet,113,0.0,3.4,20.0
"Fleisch, Wurst, Fisch und Eier",Hähnchenschenkel,174,0.0,11.2,18.2
"Fleisch, Wurst, Fisch und Eier",Rindergulasch,129,0.0,5.3,20.2
Gemüse und Salat,"Grünerspargel (im Glas, Rewe beste Wahl)",22,1.6,0.5,1.9
Gemüse und Salat,Frühlingszwiebeln,34,0.4,7,1.9
Gemüse und Salat,Erbsenschoten,58,10,0.2,4.0
Gemüse und Salat,Dickebohnenschoten,309,48.9,2,23.9
Gemüse und Salat,Paprika Rot,37,6,1,1.0
Gemüse und Salat,Paprika Gelb,30,5,0.5,1.0
Gemüse und Salat,Paprika Grün,20,3,0.3,1.0
Gemüse und Salat,Zucchini,19,3.3,0.4,1.6
Gemüse und Salat,Möhre,25,4.8,0.2,1.0
Gemüse und Salat,Gurke,12,1.8,0.2,0.6
Gemüse und Salat,Kohlrabi,23,3.7,0.1,1.9
Gemüse und Salat,Radieschen,14,2.1,0.1,1.1
Gemüse und Salat,Aubergine,17,2.5,0.2,1.2
Gemüse und Salat,Tomate,17,2.6,0.2,1.0
Gemüse und Salat,Zwiebeln,27,4.9,0.3,1.2
Gemüse und Salat,Brokkoli,26,2.5,0.2,3.3
Gemüse und Salat,Sojasprossen,52,4.7,1.2,5.3
Gemüse und Salat,Champignons,19,0.8,0,3.0
Gemüse und Salat,Schalotten,18,2,0,2.0
Gemüse und Salat,Erbsen (Glas),73,12,0.7,4.7
Gemüse und Salat,Lauch,25,3.3,0.3,2.2
Gemüse und Salat,Kichererbsen,364, 61,6,19.0
Gemüse und Salat,Spinat,16,0.6,0.3,2.7
Gemüse und Salat,Chillischote,38,7,0,2.0
Gemüse und Salat,Staudensellerie,15,2.2,0.2,1.2
Gemüse und Salat,Romasalat,17,3.3,0.3,1.2
Gemüse und Salat,Mais,102,21.6,"0,7 ",2.3
"Getreide, Getreideprodukte und Kartoffeln",Reis,365,80.0,1.8,7.1
"Getreide, Getreideprodukte und Kartoffeln",Spätzle,372,68.0,3.7,15.0
"Getreide, Getreideprodukte und Kartoffeln",Bulgur,342,76.0,1.3,12.0
"Getreide, Getreideprodukte und Kartoffeln",Riggatoni,354,71.0,1.7,12.5
"Getreide, Getreideprodukte und Kartoffeln",Couscous,353,69.0,1.8,11.0
"Getreide, Getreideprodukte und Kartoffeln",Kartoffeln,73,15.0,0.01,1.9
"Getreide, Getreideprodukte und Kartoffeln",Spaghetti,348,71.0,1.1,12.0
"Getreide, Getreideprodukte und Kartoffeln",Müsli,331,55.4,7.0,11.7
"Getreide, Getreideprodukte und Kartoffeln",Amaranth,385,66.0,7.0,14.6
"Getreide, Getreideprodukte und Kartoffeln",Haferflocken,371,59.5,6.7,13.2
"Getreide, Getreideprodukte und Kartoffeln",Schwarzbrot,210,38.0,1.8,5.8
"Getreide, Getreideprodukte und Kartoffeln",Wrap,296,53.6,5.2,7.6
"Getreide, Getreideprodukte und Kartoffeln",Chiasamen,446,4.5,31.0,21.2
Milch und Milchprodukte,Griechischer Joghurt,116,3.9,9.4,3.3
Milch und Milchprodukte,Parmesan,396,0.0,30.6,30.7
Milch und Milchprodukte,Gouda gerieben,370,3.0,29.0,23.0
Milch und Milchprodukte,Milch,64,4.8,3.5,3.3
Milch und Milchprodukte,Kokosmilch,201,2.2,20.0,2.3
Milch und Milchprodukte,Joghurt,69,4.4,3.8,3.9
Obst,TK-Beerenmix,46,8.0,0.5,0.8
Obst,Bananen,93,20.0,0.2,1.1
Obst,Äpfel,65,14.3,0.1,0.3
Obst,Kiwi,62,9.1,0.6,1.0
Obst,Trauben,72,15.2,0.3,0.7
Obst,Orangen,47,8.3,0.2,1.0
Öle und Fette,Olivenöl,852,0.0,91.6,0.0
Öle und Fette,Sonnenblumenöl,828,0.0,92.0,0.0
Öle und Fette,Sesamöl,828,0.0,92.0,0.0
Öle und Fette,Erdnussöl,819,0.5,91.0,0.5
Öle und Fette,Butterschmalz,898,0.0,99.8,0.0
Öle und Fette,Creme Fraiche,287,2.9,30.0,2.5
